[0000]  WARN no explicit name and version provided for directory source, deriving artifact ID from the given path (which is not ideal)
http-body                             1.0.1                          rust-crate                      
http-body-util                        0.1.3                          rust-crate                      
httparse                              1.10.1                         rust-crate                      
hyper                                 1.7.0                          rust-crate                      
hyper-rustls                          0.27.7                         rust-crate                      
hyper-tls                             0.6.0                          rust-crate                      
hyper-util                            0.1.17                         rust-crate                      
iana-time-zone                        0.1.64                         rust-crate                      
iana-time-zone-haiku                  0.1.2                          rust-crate                      
icu_collections                       2.0.0                          rust-crate                      
icu_locale_core                       2.0.0                          rust-crate                      
icu_normalizer                        2.0.0                          rust-crate                      
icu_normalizer_data                   2.0.0                          rust-crate                      
icu_properties                        2.0.1                          rust-crate                      
icu_properties_data                   2.0.1                          rust-crate                      
icu_provider                          2.0.0                          rust-crate                      
idea                                  0.5.1                          rust-crate                      
ident_case                            1.0.1                          rust-crate                      
idna                                  1.1.0                          rust-crate                      
idna_adapter                          1.2.1                          rust-crate                      
indexmap                              2.11.4                         rust-crate                      
indicatif                             0.17.11                        rust-crate                      
inout                                 0.1.4                          rust-crate                      
io-uring                              0.7.10                         rust-crate                      
ipnet                                 2.11.0                         rust-crate                      
iri-string                            0.7.8                          rust-crate                      
is_terminal_polyfill                  1.70.1                         rust-crate                      
itoa                                  1.0.15                         rust-crate                      
js-sys                                0.3.81                         rust-crate                      
k256                                  0.13.4                         rust-crate                      
keccak                                0.1.5                          rust-crate                      
lazy_static                           1.5.0                          rust-crate                      
libbz2-rs-sys                         0.2.2                          rust-crate                      
libc                                  0.2.176                        rust-crate                      
libm                                  0.2.15                         rust-crate                      
libpkgx                               0.7.0                          rust-crate                      
libredox                              0.1.10                         rust-crate                      
libsemverator                         0.10.1                         rust-crate                      
libsqlite3-sys                        0.31.0                         rust-crate                      
libz-rs-sys                           0.5.2                          rust-crate                      
linux-raw-sys                         0.11.0                         rust-crate                      
litemap                               0.8.0                          rust-crate                      
lock_api                              0.4.14                         rust-crate                      
log                                   0.4.28                         rust-crate                      
lru-slab                              0.1.2                          rust-crate                      
lzma-sys                              0.1.20                         rust-crate                      
md-5                                  0.10.6                         rust-crate                      
memchr                                2.7.6                          rust-crate                      
mime                                  0.3.17                         rust-crate                      
miniz_oxide                           0.8.9                          rust-crate                      
mio                                   1.0.4                          rust-crate                      
native-tls                            0.2.14                         rust-crate                      
nix                                   0.29.0                         rust-crate                      
nom                                   8.0.0                          rust-crate                      
num-bigint-dig                        0.8.4                          rust-crate                      
num-integer                           0.1.46                         rust-crate                      
num-iter                              0.1.45                         rust-crate                      
num-traits                            0.2.19                         rust-crate                      
num_enum                              0.7.4                          rust-crate                      
num_enum_derive                       0.7.4                          rust-crate                      
num_threads                           0.1.7                          rust-crate                      
number_prefix                         0.4.0                          rust-crate                      
object                                0.37.3                         rust-crate                      
ocb3                                  0.1.0                          rust-crate                      
once_cell                             1.21.3                         rust-crate                      
once_cell_polyfill                    1.70.1                         rust-crate                      
opaque-debug                          0.3.1                          rust-crate                      
openssl                               0.10.73                        rust-crate                      
openssl-macros                        0.1.1                          rust-crate                      
openssl-probe                         0.1.6                          rust-crate                      
openssl-sys                           0.9.109                        rust-crate                      
oxsecurity/megalinter                 v9                             github-action                   
p256                                  0.13.2                         rust-crate                      
p384                                  0.13.1                         rust-crate                      
p521                                  0.13.3                         rust-crate                      
parking_lot                           0.12.5                         rust-crate                      
parking_lot_core                      0.9.12                         rust-crate                      
password-hash                         0.5.0                          rust-crate                      
pem-rfc7468                           0.7.0                          rust-crate                      
percent-encoding                      2.3.2                          rust-crate                      
peter-evans/create-pull-request       v7                             github-action                   
pgp                                   0.17.0                         rust-crate                      
picolayer                             0.1.0                          rust-crate                      
pin-project-lite                      0.2.16                         rust-crate                      
pin-utils                             0.1.0                          rust-crate                      
pkcs1                                 0.7.5                          rust-crate                      
pkcs8                                 0.10.2                         rust-crate                      
pkg-config                            0.3.32                         rust-crate                      
polyval                               0.6.2                          rust-crate                      
portable-atomic                       1.11.1                         rust-crate                      
potential_utf                         0.1.3                          rust-crate                      
ppv-lite86                            0.2.21                         rust-crate                      
primeorder                            0.13.6                         rust-crate                      
proc-macro-crate                      3.4.0                          rust-crate                      
proc-macro2                           1.0.101                        rust-crate                      
quinn                                 0.11.9                         rust-crate                      
quinn-proto                           0.11.13                        rust-crate                      
quinn-udp                             0.5.14                         rust-crate                      
quote                                 1.0.41                         rust-crate                      
r-efi                                 5.3.0                          rust-crate                      
radium                                0.7.0                          rust-crate                      
rand                                  0.8.5                          rust-crate                      
rand                                  0.9.2                          rust-crate                      
rand_chacha                           0.3.1                          rust-crate                      
rand_chacha                           0.9.0                          rust-crate                      
rand_core                             0.6.4                          rust-crate                      
rand_core                             0.9.3                          rust-crate                      
redox_syscall                         0.3.5                          rust-crate                      
redox_syscall                         0.5.18                         rust-crate                      
